,File name,predicted bugs
0,core/src/test/java/com/alibaba/nacos/core/distributed/distro/component/DistroComponentHolderTest.java,2.0
1,naming/src/main/java/com/alibaba/nacos/naming/core/v2/upgrade/doublewrite/execute/DefaultInstanceUpgradeHelper.java,3.0
2,naming/src/main/java/com/alibaba/nacos/naming/core/v2/upgrade/doublewrite/execute/ServiceMetadataUpgradeHelper.java,2.0
3,core/src/main/java/com/alibaba/nacos/core/distributed/distro/task/execute/AbstractDistroExecuteTask.java,4.0
4,naming/src/main/java/com/alibaba/nacos/naming/core/v2/pojo/InstancePublishInfo.java,4.0
5,core/src/main/java/com/alibaba/nacos/core/remote/control/MonitorKeyMatcher.java,3.0
6,core/src/test/java/com/alibaba/nacos/core/distributed/distro/task/load/DistroLoadDataTaskTest.java,2.0
7,core/src/test/java/com/alibaba/nacos/core/distributed/distro/monitor/DistroRecordsHolderTest.java,2.0
8,core/src/main/java/com/alibaba/nacos/core/cluster/MembersChangeEvent.java,3.0
9,naming/src/main/java/com/alibaba/nacos/naming/core/v2/client/manager/ClientManagerDelegate.java,4.0
10,config/src/main/java/com/alibaba/nacos/config/server/controller/CapacityController.java,9.0
11,core/src/test/java/com/alibaba/nacos/core/distributed/distro/entity/DistroDataTest.java,2.0
12,core/src/main/java/com/alibaba/nacos/core/distributed/raft/processor/AbstractProcessor.java,5.0
13,client/src/main/java/com/alibaba/nacos/client/config/impl/CacheData.java,16.0
14,naming/src/main/java/com/alibaba/nacos/naming/cluster/ServerListManager.java,15.0
15,config/src/main/java/com/alibaba/nacos/config/server/remote/ConfigQueryRequestHandler.java,7.0
16,config/src/main/java/com/alibaba/nacos/config/server/auth/ExternalRolePersistServiceImpl.java,9.0
17,naming/src/main/java/com/alibaba/nacos/naming/constants/RequestConstant.java,2.0
18,istio/src/main/java/com/alibaba/nacos/istio/mcp/NacosToMcpResources.java,3.0
19,core/src/main/java/com/alibaba/nacos/core/remote/grpc/GrpcBiStreamRequestAcceptor.java,7.0
20,api/src/main/java/com/alibaba/nacos/api/naming/remote/request/AbstractNamingRequest.java,3.0
21,common/src/main/java/com/alibaba/nacos/common/http/client/request/DefaultAsyncHttpClientRequest.java,3.0
22,config/src/main/java/com/alibaba/nacos/config/server/remote/ConfigChangeListenContext.java,4.0
23,config/src/main/java/com/alibaba/nacos/config/server/service/ConfigCacheService.java,7.0
24,common/src/main/java/com/alibaba/nacos/common/http/param/Header.java,8.0
25,naming/src/main/java/com/alibaba/nacos/naming/core/v2/service/impl/PersistentClientOperationServiceImpl.java,4.0
26,naming/src/main/java/com/alibaba/nacos/naming/cluster/remote/request/AbstractClusterRequest.java,3.0
27,console/src/main/java/com/alibaba/nacos/console/controller/ServerStateController.java,8.0
28,core/src/test/java/com/alibaba/nacos/core/cluster/lookup/AddressServerMemberLookupTest.java,2.0
29,client/src/main/java/com/alibaba/nacos/client/config/common/ConfigConstants.java,2.0
30,common/src/main/java/com/alibaba/nacos/common/utils/ThreadUtils.java,7.0
31,common/src/main/java/com/alibaba/nacos/common/notify/NotifyCenter.java,6.0
32,api/src/main/java/com/alibaba/nacos/api/remote/request/InternalRequest.java,3.0
33,core/src/main/java/com/alibaba/nacos/core/remote/control/MonitorKey.java,3.0
34,naming/src/main/java/com/alibaba/nacos/naming/core/CatalogServiceV1Impl.java,4.0
35,naming/src/main/java/com/alibaba/nacos/naming/consistency/ephemeral/distro/component/DistroHttpAgent.java,5.0
36,console/src/main/java/com/alibaba/nacos/console/controller/NamespaceController.java,12.0
37,config/src/main/java/com/alibaba/nacos/config/server/service/repository/extrnal/ExternalStoragePersistServiceImpl.java,14.0
38,api/src/main/java/com/alibaba/nacos/api/remote/request/ClientDetectionRequest.java,3.0
39,naming/src/main/java/com/alibaba/nacos/naming/consistency/persistent/raft/RaftCore.java,23.0
40,config/src/main/java/com/alibaba/nacos/config/server/service/notify/NotifyTaskProcessor.java,12.0
41,core/src/main/java/com/alibaba/nacos/core/cluster/ServerMemberManager.java,18.0
42,naming/src/main/java/com/alibaba/nacos/naming/core/v2/metadata/NamingMetadataManager.java,4.0
43,naming/src/main/java/com/alibaba/nacos/naming/core/v2/upgrade/doublewrite/delay/ServiceChangeV1Task.java,5.0
44,naming/src/test/java/com/alibaba/nacos/naming/core/v2/index/ServiceStorageTest.java,2.0
45,common/src/main/java/com/alibaba/nacos/common/task/AbstractExecuteTask.java,4.0
46,naming/src/main/java/com/alibaba/nacos/naming/core/v2/upgrade/doublewrite/delay/DoubleWriteEventListener.java,4.0
47,naming/src/main/java/com/alibaba/nacos/naming/constants/FieldsConstants.java,2.0
48,naming/src/main/java/com/alibaba/nacos/naming/core/v2/upgrade/doublewrite/execute/DoubleWriteInstanceChangeToV1Task.java,4.0
49,naming/src/main/java/com/alibaba/nacos/naming/healthcheck/HealthCheckReactor.java,8.0
50,config/src/main/java/com/alibaba/nacos/config/server/utils/PropertyUtil.java,14.0
51,sys/src/test/java/com/alibaba/nacos/sys/utils/InetUtilsTest.java,2.0
52,config/src/main/java/com/alibaba/nacos/config/server/controller/ConfigServletInner.java,17.0
53,core/src/main/java/com/alibaba/nacos/core/remote/grpc/GrpcRequestAcceptor.java,6.0
54,common/src/main/java/com/alibaba/nacos/common/utils/MapUtil.java,3.0
55,console/src/main/java/com/alibaba/nacos/console/filter/JwtAuthenticationTokenFilter.java,7.0
